 Max dif between elements (Analytical and Numerical)   1.6875389974302379E-014

 Max dif between elements (Real and K-space)   1.3322676295501878E-015

     Analytical                Real Space                K-Space

  -2.0000000000000000       -2.0000000000000098       -2.0000000000000009     
  -2.0000000000000000       -2.0000000000000093       -2.0000000000000009     
  -2.0000000000000000       -2.0000000000000089       -2.0000000000000009     
  -2.0000000000000000       -2.0000000000000084       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000080       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000049       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000049       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000049       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000049       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000040       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000036       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000036       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000031       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000027       -2.0000000000000004     
  -2.0000000000000000       -2.0000000000000018       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000013       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000009       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000009       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000009       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000009       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000009       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000009       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000004       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000004       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000004       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000004       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -2.0000000000000000       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999998       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999996       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999996       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999993       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999993       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999991       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999991       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999989       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999989       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999989       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999989       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999989       -2.0000000000000000     
  -2.0000000000000000       -1.9999999999999987       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999984       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999982       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999982       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999980       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999980       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999978       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999978       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999976       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999976       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999973       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999973       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999971       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999969       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999967       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999964       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999962       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999958       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999956       -1.9999999999999998     
  -2.0000000000000000       -1.9999999999999953       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999951       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999949       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999944       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999940       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999940       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999936       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999922       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999920       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999913       -1.9999999999999996     
  -2.0000000000000000       -1.9999999999999902       -1.9999999999999993     
  -2.0000000000000000       -1.9999999999999896       -1.9999999999999993     
  -2.0000000000000000       -1.9999999999999889       -1.9999999999999993     
  -2.0000000000000000       -1.9999999999999873       -1.9999999999999993     
  -2.0000000000000000       -1.9999999999999869       -1.9999999999999993     
  -2.0000000000000000       -1.9999999999999831       -1.9999999999999991     
  -1.9595220024766893       -1.9595220024766888       -1.9595220024766893     
  -1.9595220024766893       -1.9595220024766871       -1.9595220024766893     
  -1.8793852415718169       -1.8793852415718204       -1.8793852415718169     
  -1.8793852415718169       -1.8793852415718171       -1.8793852415718169     
  -1.7224022714892402       -1.7224022714892442       -1.7224022714892411     
  -1.7224022714892402       -1.7224022714892406       -1.7224022714892402     
  -1.7224022714892402       -1.7224022714892404       -1.7224022714892400     
  -1.7224022714892402       -1.7224022714892362       -1.7224022714892397     
  -1.6457513110645907       -1.6457513110645932       -1.6457513110645907     
  -1.6457513110645907       -1.6457513110645909       -1.6457513110645907     
  -1.4953319612640072       -1.4953319612640139       -1.4953319612640077     
  -1.4953319612640072       -1.4953319612640130       -1.4953319612640072     
  -1.4953319612640072       -1.4953319612640088       -1.4953319612640072     
  -1.4953319612640072       -1.4953319612640072       -1.4953319612640070     
  -1.2770139505290907       -1.2770139505290998       -1.2770139505290905     
  -1.2770139505290907       -1.2770139505290932       -1.2770139505290905     
  -1.2770139505290907       -1.2770139505290894       -1.2770139505290896     
  -1.2770139505290907       -1.2770139505290892       -1.2770139505290896     
  -1.2089330550226771       -1.2089330550226820       -1.2089330550226776     
  -1.2089330550226771       -1.2089330550226787       -1.2089330550226773     
  -1.2089330550226771       -1.2089330550226776       -1.2089330550226773     
  -1.2089330550226771       -1.2089330550226771       -1.2089330550226765     
  -1.0749475389349676       -1.0749475389349690       -1.0749475389349681     
  -1.0749475389349676       -1.0749475389349652       -1.0749475389349681     
  -1.0000000000000004      -0.99999999999999978       -1.0000000000000000     
  -1.0000000000000004      -0.99999999999999845       -1.0000000000000000     
 -0.87938524157181708      -0.87938524157181708      -0.87938524157181741     
 -0.87938524157181708      -0.87938524157181397      -0.87938524157181686     
 -0.87938524157181641      -0.87938524157181364      -0.87938524157181641     
 -0.87938524157181641      -0.87938524157181253      -0.87938524157181597     
 -0.67785800027770682      -0.67785800027770848      -0.67785800027770715     
 -0.67785800027770682      -0.67785800027770748      -0.67785800027770682     
 -0.67785800027770660      -0.67785800027770482      -0.67785800027770682     
 -0.67785800027770660      -0.67785800027770216      -0.67785800027770671     
 -0.62871226576892325      -0.62871226576892492      -0.62871226576892381     
 -0.62871226576892325      -0.62871226576892048      -0.62871226576892358     
 -0.62871226576892325      -0.62871226576892025      -0.62871226576892303     
 -0.62871226576892325      -0.62871226576891992      -0.62871226576892281     
 -0.53208888623795625      -0.53208888623795925      -0.53208888623795692     
 -0.53208888623795625      -0.53208888623795758      -0.53208888623795669     
 -0.53208888623795625      -0.53208888623795758      -0.53208888623795625     
 -0.53208888623795625      -0.53208888623795625      -0.53208888623795580     
 -0.39133828651557212      -0.39133828651557662      -0.39133828651557240     
 -0.39133828651557190      -0.39133828651556996      -0.39133828651557179     
 -0.33166001783275112      -0.33166001783275068      -0.33166001783275140     
 -0.33166001783275112      -0.33166001783275023      -0.33166001783275140     
 -0.33166001783275112      -0.33166001783274951      -0.33166001783275129     
 -0.33166001783275112      -0.33166001783274890      -0.33166001783275129     
 -0.21157381688531207      -0.21157381688531632      -0.21157381688531213     
 -0.21157381688531207      -0.21157381688531501      -0.21157381688531204     
 -0.21157381688531185      -0.21157381688531479      -0.21157381688531191     
 -0.21157381688531185      -0.21157381688531035      -0.21157381688531185     
   0.0000000000000000       -1.0288163362608423E-014  -4.3021142204224816E-016
   0.0000000000000000       -7.2226164523835926E-015  -2.2204460492503131E-016
   0.0000000000000000       -6.2166751922325994E-015  -6.2249038354642415E-017
   0.0000000000000000       -6.0177560719354956E-015  -1.3877787807814457E-017
